index	file	title	char_count	sha256
000	chapter-000.md	序章 神遇	2842	7edef31caa5f1a3b70625a5430a487e24a7d4eff223eb2e9b132d4c84dec7570
001	chapter-001.md	第一章 第三个红点	15291	9c3fbef777742f43f8d34cce7165b6fb0305c0c4a2c8841b95413bf7324cef95
002	chapter-002.md	第二章 赐印	14663	c97a1f9b75969e775a35862ecd79134d566e492d19d46968980c7fff0ccbf596
003	chapter-003.md	第三章 灵犀	11562	11d0cf0ef1383425052cdffa59e0b43500a7a29a7b3f86bba78bc68ffb1e6455
004	chapter-004.md	第四章 生魂	13340	f0a9c037f61e3310c0d6808dd434325966406c5a4e6099c78acda9d2b16fda55
005	chapter-005.md	第五章 黄金魂雾	16459	c59b4a35e08fb580884db1d28e8dc1fcfa3eb7cc053c49d22d26a16ce1654f5d
006	chapter-006.md	第六章 大天使	14510	5309d65c54e7d3962b6278b3c915cc883373ad5cac1539f7307a29c7436a8934
007	chapter-007.md	第七章 尤图尔遗迹	16535	2d658a0f3c4e91cd8bbe05f77af0db57689b828a13f27ad06e37ac3483720b10
008	chapter-008.md	第八章 遥远的血光	14048	8b2c2b9b2fc96a90549ffb9d9b663468bf09856bec6f213d502754882e6355f5
009	chapter-009.md	第九章 侵蚀者	13398	034bf66b588477fca8c3969b08d95afb243165f76ab5397310a84831d086d2cc
010	chapter-010.md	第十章 噬魂兽	9414	e5514960812d118528fc2df45a7a8a96068ca003a1b8e84cc7ca51d4f5c13c43
011	chapter-011.md	第十一章 亡灵使	8640	ee26687b119350514a34bd6a1eaa903a2fbdcbd698b2617aeb35f8c690323d6b
012	chapter-012.md	第十二章 霓虹	7684	29dd103f2191537552b6fd0f55c8bdd4e93e1eca585bbc4be5024ed5b577d625
013	chapter-013.md	第十三章 聚魂式	13020	4780c7621bb3b4c5a73e2bc0c03eaebd85d10959d9377a311abc6751bdcdc9bd
014	chapter-014.md	第十四章 女神的裙摆	15224	75b1856dfc6332729e307721e5374f297322c866584063a7112b69b213b6081f
015	chapter-015.md	第十五章 人狱	10244	63361052d2b9472cbf56a5c2a90caa10c87693e3735a9f22c7b160bc44a7c288
016	chapter-016.md	第十六章 远世	11000	7e6e903d6221bac28e63c49d98193d70b5da565cb9d81a25851cf677e6c11d95
017	chapter-017.md	第十七章 因	13964	4ff158fc37df4b728188176fd7da2fbd5ae458fb2616be7db3e32a0d8acd4f0e
018	chapter-018.md	第十八章 闇之骑士	14641	7e8a227250d20d01e1923ef23c46e5e4719991bce7d8d8e3074071d600db4e8d
019	chapter-019.md	第十九章 猎神闪光	12775	cfba6279a78e18f24a2514f0aa7903522fd5932d5fe0a28a7731e28340c37bca
020	chapter-020.md	第二十章 零尘诀	9785	3fd3d29b410170840717afcb6bf17f702a0b36aef491689b6586a6d39bc01557
021	chapter-021.md	第二十一章 亡者的黑瞳	14094	e0176a64c93c49118863b2f49dcf09a07e4d54f862fa1549009f63cbbd3a7c90
022	chapter-022.md	第二十二章 囚神植被	9083	36670c9fd591351022b0c01ae21ca1ccd76f1313c381ac9d5695a67ad5c73237
023	chapter-023.md	第二十三章 浆芝	9787	6d4e935b713024c85d34501aaea94eb977783987de871cdeec0b9322ac05e9c5
024	chapter-024.md	第二十四章 风水禁言录	11813	22b47f1e4e2aecbad50bc6f6f41609267019cbf3230c562b0d0b003793e6ca39
025	chapter-025.md	尾声 零度王爵	5916	62010750ed469424536b782f662db875227df179e9fa3ec8a1241c46a6883ba6
